name	short	limits	by	type	fittable	auto	coverage	visible	proginteract
Initial HIV prevalence (%)	initprev	(0, 1)	pop	Constant	pop	init	None	0	None
Population size	popsize	(0, 'maxpopsize')	pop	Popsizepar	exp	popsize	None	0	None
Force-of-infection (unitless)	force	(0, 'maxmeta')	pop	Constant	pop	force	None	0	random
Inhomogeneity (unitless)	inhomo	(0, 'maxmeta')	pop	Constant	pop	inhomo	None	0	random
Transitions (% moving/year)	transit	(0, 'maxrate')	array	Constant	no	no	None	0	random
STI prevalence (%)	stiprev	(0, 1)	pop	Timepar	meta	other	0	1	random
Mortality rate (%/year)	death	(0, 'maxrate')	pop	Timepar	meta	other	0	1	random
Tuberculosis prevalence (%)	tbprev	(0, 1)	pop	Timepar	meta	other	0	1	random
HIV testing rate (%/person/year)	hivtest	(0, 'maxrate')	pop	Timepar	meta	test	0	1	random
AIDS testing rate (%/year)	aidstest	(0, 'maxrate')	tot	Timepar	meta	test	0	1	random
Number of people on treatment	numtx	(0, 'maxpopsize')	tot	Timepar	meta	treat	1	1	random
Number of people on PMTCT	numpmtct	(0, 'maxpopsize')	tot	Timepar	meta	other	1	1	random
Proportion of women who breastfeed (%)	breast	(0, 1)	tot	Timepar	meta	other	0	1	random
Birth rate (births/woman/year)	birth	(0, 'maxrate')	pop	Timepar	meta	other	0	1	random
Male circumcision prevalence (%)	circum	(0, 1)	pop	Timepar	meta	other	0	1	random
Number of PWID on OST	numost	(0, 'maxpopsize')	tot	Timepar	meta	other	1	1	random
Probability of needle sharing (%/injection)	sharing	(0, 1)	pop	Timepar	meta	other	0	1	random
Proportion of people on PrEP (%)	prep	(0, 1)	pop	Timepar	meta	other	0	1	random
Number of regular acts (acts/year)	actsreg	(0, 'maxacts')	pship	Timepar	meta	other	0	1	random
Number of casual acts (acts/year)	actscas	(0, 'maxacts')	pship	Timepar	meta	other	0	1	random
Number of commercial acts (acts/year)	actscom	(0, 'maxacts')	pship	Timepar	meta	other	0	1	random
Number of injecting acts (injections/year)	actsinj	(0, 'maxacts')	pship	Timepar	meta	other	0	1	random
Condom use for regular acts (%)	condreg	(0, 1)	pship	Timepar	meta	other	0	1	random
Condom use for casual acts (%)	condcas	(0, 1)	pship	Timepar	meta	other	0	1	random
Condom use for commercial acts (%)	condcom	(0, 1)	pship	Timepar	meta	other	0	1	random
Male-female insertive transmissibility (per act)	transmfi	[0.0001, 0.0014]	tot	Constant	const	const	None	0	None
Male-female receptive transmissibility (per act)	transmfr	[0.0006, 0.0011]	tot	Constant	const	const	None	0	None
Male-male insertive transmissibility (per act)	transmmi	[0.0102, 0.0186]	tot	Constant	const	const	None	0	None
Male-male receptive transmissibility (per act)	transmmr	[0.0004, 0.0028]	tot	Constant	const	const	None	0	None
Injection-related transmissibility (per injection)	transinj	[0.0063, 0.024]	tot	Constant	const	const	None	0	None
Mother-to-child breastfeeding transmissibility (%)	mtctbreast	[0.294, 0.44]	tot	Constant	const	const	None	0	None
Mother-to-child no-breastfeeding transmissibility (%)	mtctnobreast	[0.14, 0.27]	tot	Constant	const	const	None	0	None
Relative transmissibility for acute HIV (unitless)	cd4transacute	[2.0, 48.02]	tot	Constant	const	const	None	0	None
Relative transmissibility for CD4>500 (unitless)	cd4transgt500	[1.0, 1.0]	tot	Constant	const	const	None	0	None
Relative transmissibility for CD4>350 (unitless)	cd4transgt350	[1.0, 1.0]	tot	Constant	const	const	None	0	None
Relative transmissibility for CD4>200 (unitless)	cd4transgt200	[1.0, 1.0]	tot	Constant	const	const	None	0	None
Relative transmissibility for CD4>50 (unitless)	cd4transgt50	[1.76, 6.92]	tot	Constant	const	const	None	0	None
Relative transmissibility for CD4<50 (unitless)	cd4translt50	[3.9, 12.08]	tot	Constant	const	const	None	0	None
Progression rate for acute HIV (%/year)	progacute	[2.0, 9.76]	tot	Constant	const	const	None	0	None
Progression rate for CD4>500 (%/year)	proggt500	[0.86, 1.61]	tot	Constant	const	const	None	0	None
Progression rate for CD4>350 (%/year)	proggt350	[0.32, 0.35]	tot	Constant	const	const	None	0	None
Progression rate for CD4>200 (%/year)	proggt200	[0.25, 0.29]	tot	Constant	const	const	None	0	None
Progression rate for CD4>50 (%/year)	proggt50	[0.44, 0.88]	tot	Constant	const	const	None	0	None
Treatment recovery rate into CD4>500 (%/year)	recovgt500	[0.14, 0.93]	tot	Constant	const	const	None	0	None
Treatment recovery rate into CD4>350 (%/year)	recovgt350	[0.29, 1.11]	tot	Constant	const	const	None	0	None
Treatment recovery rate into CD4>200 (%/year)	recovgt200	[0.33, 0.72]	tot	Constant	const	const	None	0	None
Treatment recovery rate into CD4>50 (%/year)	recovgt50	[1.06, 1.96]	tot	Constant	const	const	None	0	None
Death rate for acute HIV (%/year)	deathacute	[0.0029, 0.0044]	tot	Constant	const	const	None	0	None
Death rate for CD4>500 (%/year)	deathgt500	[0.0029, 0.0044]	tot	Constant	const	const	None	0	None
Death rate for CD4>350 (%/year)	deathgt350	[0.0048, 0.0071]	tot	Constant	const	const	None	0	None
Death rate for CD4>200 (%/year)	deathgt200	[0.075, 0.0101]	tot	Constant	const	const	None	0	None
Death rate for CD4>50 (%/year)	deathgt50	[0.054, 0.079]	tot	Constant	const	const	None	0	None
Death rate for CD4<50 (%/year)	deathlt50	[0.296, 0.432]	tot	Constant	const	const	None	0	None
Relative death rate on treatment (unitless)	deathtreat	[0.15, 0.3]	tot	Constant	const	const	None	0	None
Relative death rate with tuberculosis (unitless)	deathtb	[1.27, 3.71]	tot	Constant	const	const	None	0	None
